publication_number,title,abstract,publication_date,ipc_codes,assignees
KR-20170128252-A,,,20171122,B01D71/06,TORAY INDUSTRIES
BR-112014005870-B1,,,20190618,"B01D61/02,B01D61/58,B01D61/14",TORAY INDUSTRIES
CN-220684756-U,Water purifier with directly connected faucet,"The utility model relates to a water purifier with a directly connected faucet. A faucet direct-connection type water purifier (1) is provided with: a flow path switching valve (13) having a raw water inlet (28) for receiving raw water; a filter cartridge (3) for purifying raw water; a purified water outlet (19) for discharging purified water; a raw water pipe (20) for connecting the flow path switching valve to the filter cartridge; and a water purification pipeline (30) connecting the filter cartridge to the water purification outlet, wherein a flow detection part (102) is arranged in the water purification pipeline, and the water purification pipeline is arranged above the raw water pipeline.",20240329,"C02F1/28,C02F1/44",TORAY INDUSTRIES
EP-3441368-B1,Water treatment method,,20210707,"B01D65/08,B01D71/56,C02F5/10,C02F1/44,C02F1/70,C02F5/12,C02F5/08,C02F5/14,C02F1/76",TORAY INDUSTRIES
CA-3165603-A1,"Spunbond non-woven fabric, filter material for pleated filter for dust collector, pleated filter for dust collector, and large air volume pulse-jet type dust collector","This spunbond nonwoven fabric is constituted by thermoplastic continuous filaments composed of high-melting-point components and low-melting-point components, wherein: the coefficient of variability (CV) in the vapor transmission rate of the spunbond nonwoven fabric is 15% or less; the bending resistance along the machine direction (MD) is 40-80 mN; and in a cross-section of the nonwoven fabric, where the thickness from one surface to another surface of a non-fused projection is tA, the thickness from one surface to another surface of a fused indentation is tB, and the distances from one surface of the projection to one surface of the indentation are tC and tD (tC&lt;tD), respectively, then the relationships represented by the following expressions (1) and (2) are satisfied. (1) 0.5?1-tB/tA&lt;1.0 (2) 0.65&lt;tC&lt;/tD&lt;1.0",20210701,B01D39/16,TORAY INDUSTRIES
US-9649602-B2,Method of sewage treatment and sewage treatment apparatus,"A method of sewage treatment includes:
         immersing a separation membrane module into sewage, wherein the separation membrane module has a plurality of separation membrane elements, each having a supporting plate, a separation membrane and a filtered water outlet;   separating water into filtered water and suspended solids by having the water permeated through the separation membrane; and   having the filtered water flow toward the exterior from the filtered water outlet;
 
wherein the separation membrane has a nonwoven fabric and a porous resin layer on at least one surface of the nonwoven fabric; and
 
a part of the resin permeates into the nonwoven fabric to form a composite layer with the nonwoven fabric.",20170516,"B01D65/08,B01D63/08,B01D71/34,B01D69/10,B01D61/18,C02F1/44,B01D67/00,B01D69/02,B01D69/12,B01D63/10",TORAY INDUSTRIES
EP-3647428-A1,Production method and production device for chemical product by continuous fermentation,"Provided is a chemical product production method wherewith filterability and productivity with respect to a target substance can be both achieved. The present invention is provided with a mechanism for removing solid contents in a pipe connecting a fermentation tank and a filter separation module, and adds the solid contents removed by the removal mechanism to a culture liquid.",20200506,B01D61/14,TORAY INDUSTRIES
WO-2020246439-A1,Water purification system,"A water purification system (1) that has a water pipe (2) connected to water pipes and branched into a main pipe (5) and a side pipe (6) that has a water purifier (20) inserted therein. A first electromagnetic valve is provided in the main pipe (5) and a second electromagnetic valve is provided in the side pipe (6). A combined pipe (7) into which the main pipe (5) and the side pipe (6) converge has a processor (17) provided therein. Raw water or purified water is discharged from a faucet. The water purification system (1) controls the first electromagnetic valve and the second electromagnetic valve to be open or closed, on the basis of output signals output from the processor (17) in accordance with the operation of the faucet, and enables switching between raw water and purified water.",20201210,"C02F1/00,C02F1/28",TORAY INDUSTRIES
WO-2024214595-A1,Composite membrane for gas separation and gas separation system using same,"Provided is a composite membrane for gas separation, having at least a porous support layer, a separation function layer and a coating layer in this order, and having He permeability at 25°C of 1.0/m 2 s/Pa or more, wherein when He is a non-condensable gas and H2O is a condensable gas, and when nano-permporometry analysis is performed under a condition of a temperature of 40°C, He permeability at a relative humidity of 90% is 90% or more of He permeability at a relative humidity of 20%. According to the present invention, it is possible to provide: a composite membrane for gas separation, which is excellent in selectively separating gasses with small molecular diameters, such as hydrogen, helium, water vapor, and ammonia; a spiral-type composite membrane module for gas separation; and a gas separation system using the composite membrane and the spiral-type composite membrane module.",20241017,"B01D69/00,B01D69/02,B01D71/56,B01D69/10,B01D69/12,B01D63/10,B01D53/22",TORAY INDUSTRIES
TW-I542399-B,Water purifier,,20160721,"B01D24/34,B01D24/02",TORAY INDUSTRIES
HU-E049125-T2,Polyolefin microporous membrane and method for producing same,,20200928,"B01D71/26,B01D67/00",TORAY INDUSTRIES
JP-2015184019-A,Inspection method and inspection device of hollow fiber module,"PROBLEM TO BE SOLVED: To provide an inspection method and inspection device of a hollow fiber module capable of accurately determining the presence/absence of a defect (interruption fiber) of the hollow fiber module and its occurrence degree even when a flaw occurs in an end surface.SOLUTION: In the method of inspecting a hollow fiber module on the basis of a picked-up image of an end surface of the hollow fiber module, regarding the picked-up image, by integrating a blocked hollow fiber identified by a particle analysis method as first means and a blocked hollow fiber identified by a pattern matching method as second means (calculating the logical OR, logical AND, or exclusive OR), the blocked hollow fiber is identified without missing out.",20151022,"B01D63/02,B01D65/10",TORAY INDUSTRIES
WO-2021106726-A1,"Porous membrane, composite membrane, and method for producing porous membrane or composite membrane","The present invention pertains to a porous membrane comprising a porous resin layer that contains a polymer containing a polyvinylidene fluoride resin as a main component, wherein: a branched polyvinylidene fluoride resin is contained as the polyvinylidene fluoride resin; the porous resin layer has a surface with an average pore size of 0.01-0.1 μm; the porous resin layer has macrovoids with a minor axis of at least 50 μm; and the polymer has an a value of 0.27-0.39 and a b value of 0.22-0.60 which are approximately determined by equation 1 using the radius of gyration &lt;S2&gt;1/2 and the absolute polymer molecular weight Mw as measured with gel permeation chromatography with a multi-angle light scattering detector (GPC-MALS).　&lt;S2&gt;1/2=bMw a ∙∙∙ (Equation 1)",20210603,"B01D69/12,B01D69/00,B01D69/10,B01D71/34",TORAY INDUSTRIES
ES-2181852-T5,,,20200429,"B01D69/08,B01D67/00,B01D71/68",TORAY INDUSTRIES
AU-2018306010-A1,Carbon membrane for fluid separation and method for manufacturing same,"The present invention provides a carbon membrane for fluid separation wherein rupture of a carbon membrane provided inside a separation module can be suppressed in a pressure-reduced desorption process prior to fluid transmission and during fluid transmission. In this carbon membrane for fluid separation, a compact carbon layer is formed on a porous carbon support body and an R",20191219,"B01D69/08,B01D69/10,B01D71/02,B01D69/12",TORAY INDUSTRIES
US-2023026227-A1,"Spunbond non-woven fabric, filter laminated filter material, filter material for pleated filter for dust collector, pleated filter for dust collector, and medium air volume pulse-jet type dust collector","A spunbond non-woven fabric includes a nonbonded projected part and a bonded recessed part. Bending resistance in a machine direction of the spunbond non-woven fabric is 20 mN or more and 40 mN or less, and in a non-woven fabric cross-section, a thickness from one surface to another surface of the projected part is determined to be tA, a thickness from one surface to another surface of the recessed part is determined to be tB, and respective distances from one surface of the projected part to one surface of the recessed part are determined to be tC and to (tC&lt;tD), and the spunbond non-woven fabric has a relation represented by formulas (1) and (2) below:0.5≤1−tB/tA&lt;1.0  (1)0.35&lt;tC/tD&lt;0.65  (2).",20230126,"B01D39/16,B01D46/54,B01D46/71,B01D46/52",TORAY INDUSTRIES
WO-2017110365-A1,Spunbond nonwoven fabric for filter and method for manufacturing said fabric,"The present invention provides a spunbond nonwoven fabric for a filter, said fabric having exceptional dust shake-off properties while having excellent rigidity and breathability. This spunbond nonwoven fabric for a filter comprises a composite polyester fiber in which a low melting point polyester is arranged around a high melting point polyester, the low melting point polyester having a melting point that is 10 to 140°C lower than the melting point of the high melting point polyester, wherein in the spunbond nonwoven fabric for a filter, the monofilament fineness of the composite polyester fiber is 1.5 dtex or greater and less than 5.0 dtex, the basis weight of the spunbond nonwoven fabric is 150 to 300 g/m 2 , the apparent density is 0.25 to 0.40 g/cm 3 , the ventilation volume per basis weight is 0.05 to 0.45 (cm 3 /cm 2  • sec)/(g/m 2 ), and the bending resistance per basis weight in at least one of the longitudinal direction or lateral direction is 0.09 to 0.32 (mN)/(g/m 2 ).",20170629,B01D39/16,TORAY INDUSTRIES
WO-2021153486-A1,Method for filtering oil,"An objective of the present invention is to provide a technology whereby the superior permeability of a porous film is restored and preserved through a simple method, and oil filtration operation is sustained at a long-term high level of processing capability. The present invention provides a method for filtering oil, the method including: a step (A) in which a hydrophobic gas is passed through a porous film primarily composed of a hydrophobic polymer; and a step (B) in which oil is passed through the porous film, wherein, after the hydrophobic gas having passed through the porous film during step (A) is confirmed to have a relative humidity of 0–60%, the oil transitioning to step (B) is filtered.",20210805,"B01D61/14,B01D65/02,B01D65/06,B01D71/34,B01D63/02,B01D61/10,B01D69/00",TORAY INDUSTRIES
EP-3466526-A1,Hollow fiber membrane module,This hollow fiber membrane module is provided with: a cylindrical case having a first end and a second end in the direction of height; a plurality of hollow fiber membranes accommodated in the cylindrical case; and a first potting unit attaching the end parts of the plurality of hollow fiber membranes positioned at the first end of the cylindrical case while the end parts are open. The hollow fiber membranes have a rupture strength of 23 MPa or more. The filling rate for the hollow fiber membranes is 40 - 80%.,20190410,"B01D69/02,B01D71/32,B01D63/02,B01D69/00",TORAY INDUSTRIES
WO-2015141693-A1,Semipermeable membrane separation device and semipermeable membrane separation device operation method,"In this semipermeable membrane separation device for separating concentrated water and permeated water, a semipermeable membrane unit is arranged downstream of a booster pump which takes raw water, which is seawater or high concentration brine water with a salt concentration of 1 wt% or greater, and supplies pressurized feed water, which is the raw water or pre-treated water. The semipermeable membrane unit comprises one cylindrical pressure vessel comprising multiple semipermeable membrane elements housed in series therein, and feed water is supplied from one end of the semipermeable membrane unit. The semipermeable membrane unit comprises modules structured such that unpermeated water obtained from a semipermeable membrane element in a previous stage is supplied to a semipermeable membrane element in a subsequent stage, and in order to separate the permeated water obtained from the semipermeable membrane element in the previous stage and the permeated water obtained from the remaining subsequent stages, a first permeated water line for taking out, from one end, part of the permeated water obtained from the previous stage, and a second permeated water line for taking out, from the other end, the permeated water from the remaining subsequent stages are provided. The first permeated water line is connected to an energy recovery unit, and back pressure energy is used to boost pressure of part of the feed water with a pressure exchange-type energy recovery unit and/or a turbocharger.",20150924,"B01D61/06,C02F1/44,B01D61/10,B01D63/12",TORAY INDUSTRIES
ES-2764124-T3,,,20200602,B01D61/02,TORAY INDUSTRIES
WO-2022071047-A1,"Separation membrane, and separation membrane module","In the past, fibrous separation membranes having separation layers that have inorganic materials as main components have been presented with problems in that, due to the effects of stress caused by stretching, contraction, etc., during use of a separation membrane in a separation membrane manufacturing step or a separation/purification step, crack-form defects readily appear in a separation layer, these defects occurring even more readily under high-pressure conditions. Moreover, when a crack-form defect produced in a separation layer is larger than an article subject to separation, the article subject to separation leaks out through the defect. Therefore, there is a demand to suppress such defects. The present invention is a fibrous separation membrane having a separation layer that has an inorganic material as a main component, wherein the smaller angle from among angles formed by a separation layer orientation direction and the fiber axis of the separation membrane is 3-87 degrees, where the separation layer orientation direction is a direction perpendicular to a peak intensity bearing, and the peak intensity bearing is a bearing at which the average light intensity at 18.0-20.3 nm -1  in a diffraction vector q reaches a maximum peak intensity in wide-angle X-ray diffraction measurement in which measurement is carried out upon incidence of X-rays on the separation layer from a direction normal to the fiber axis of the separation membrane.",20220407,"B01D69/08,B01D69/00,B01D69/10,B01D69/02,B01D69/12,B01D71/02",TORAY INDUSTRIES
ES-2605406-T3,,,20170314,"B01D63/04,B01D61/00,B01D63/02,B01D61/14",TORAY INDUSTRIES
JP-2021115521-A,Reinforced air filter unit and air cleaner,"To provide an air filter unit having low pressure loss and high collection performance when used as an air filter for an air cleaner and being constituted with a span bond nonwoven fabric excellent in workability and to provide the air cleaner incorporating the air filter unit.SOLUTION: In a reinforced air filter unit where a pleat joint body made of a filter medium and a reinforcement material is held with a fixing material, the filter medium includes an electret span bond nonwoven fabric constituted with a fiber made of a polyolefin-based resin, and the fiber has an average single fiber diameter of 6.5-22 μm, contains a hindered amine-based compound of 0.1-5 mass% and has a melt flow rate (MFR) of the fiber of 32-850 g/10 min.SELECTED DRAWING: None",20210810,"B01D46/52,B01D39/16,B01D39/14",TORAY INDUSTRIES
EP-3189886-A4,Hollow fiber membrane module and method for manufacturing hollow fiber membrane module,,20171115,"B01D63/04,B01D69/08",TORAY INDUSTRIES
EP-2286902-B1,Separation membrane and module using the separation membrane,,20200219,"B01D69/02,B01D71/44,B01D71/40,B01D67/00,B01D71/38,B01D69/08,B01D71/68",TORAY INDUSTRIES
AU-2017305070-B2,"Copolymer, and separation membrane, medical device, and blood purifier using the copolymer","The purpose of the present invention is to provide a copolymer having exceptional water permeability, platelet adherence suppression, and protein adherence suppression, and to provide a separation membrane, a medical device, and a medical separation membrane module in which said copolymer is used. The present invention provides a copolymer containing monomer units derived from two or more types of monomer, wherein the hydration energy density of the copolymer is 158.992 to 209.200 kJ・mol",20220310,"B01D71/44,B01D71/38,B01D71/40",TORAY INDUSTRIES
JP-2017056369-A,Separation membrane module,"PROBLEM TO BE SOLVED: To provide a separation membrane module where a membrane filling rate in a module container is easily increased, high separation efficiency is realized and further the partial replacement of a separation membrane element is easy regardless of the size of the module container even when a separation membrane largely affected by pressure loss is used.SOLUTION: A separation membrane module has a hollow container and a plurality of elements extended from the internal surface of a container side wall toward the inside of the container. The element has one or more separation membrane units constituted by a case formed with a plurality of holes for flowing a substance inside, a separation membrane separating the constituent of the substance flown into the case and a permeated substance flow passage material for passing a separated and permeated component. The lengths of the plurality of elements in an extension direction are half or less of a distance from the connection position of the internal surface of a side wall to the other position of the internal surface of the side wall toward the extension direction.SELECTED DRAWING: Figure 1",20170323,"B01D63/00,B01D63/04",TORAY INDUSTRIES
US-2022029177-A1,Power generation system,"A power generation system, includes: a fuel cell that includes a negative electrode and a positive electrode and is configured to generate electric power by chemical reaction between hydrogen and oxygen; a separator that includes an oxygen-permselective separation membrane and is configured to obtain permeated gas and non-permeated gas from mixed gas; and a positive electrode gas supply passage through which the mixed gas is supplied to the separator and the obtained permeated gas is supplied to the positive electrode. The separation membrane includes a porous support layer and a separation functional layer provided on the porous support layer. The separation functional layer contains at least one kind of chemical compound selected from the group consisting of polyamide, graphene, MOF (Metal Organic Framework), and COF (Covalent Organic Framework).",20220127,B01D71/56,TORAY INDUSTRIES
EP-2735357-B1,Separation membrane and separation membrane element,,20200408,"B01D69/12,B01D69/10,B01D63/10",TORAY INDUSTRIES
US-9993776-B2,"Separation membrane module, method for driving same, separation membrane element, thrust load maintaining member, and thrust load adjustment maintaining member","The present invention relates to a separation membrane module including: a pressure vessel; a plurality of separation membrane elements which are provided in the pressure vessel and each includes: a wound membrane body in which a separation membrane, a liquid-to-be-treated channel member and a permeated liquid channel member are spirally wound around a permeated liquid collection tube; and anti-telescoping plates disposed on both ends of the wound membrane body; and a thrust load holding member which holds a thrust load generated when water passes through the separation membrane elements, in which a thrust load adjustment holding member which is capable of adjusting the thrust load by adjusting a total length of the separation membrane elements in the pressure vessel, is provided on at least one end of the thrust load holding member in an axial direction of the separation membrane elements.",20180612,"B01D65/02,B01D63/10,B01D63/12,B01D35/00,B01D63/02",TORAY INDUSTRIES
JP-2015142911-A,Separation membrane and separation membrane element,"PROBLEM TO BE SOLVED: To provide a separation membrane element capable of achieving both the reduction of flow resistance at a permeation side and the stability of element performance under a high pressure in a long-term operation.SOLUTION: In a separation membrane provided with a separation membrane body 2 having a supply side surface and a permeation side surface and a plurality of projections 3 adhered to the permeation side surface of the separation membrane body, the cross-section of the projection 3 has a round outer periphery and the radius of a circle G connecting a point A, a point C and a point E or the radius of a circle H connecting three points such as a point A, a point D and a point F is 0.1 mm or more and 0.5 mm or less.",20150806,"B01D69/06,B01D63/00,B01D63/10,B01D69/00",TORAY INDUSTRIES
CN-107921378-A,"Seperation film, separating film element, the manufacture method of water purifier and seperation film","It is an object of the invention to provide with high water-permeability and high divalent/1 valency ion selection removability seperation film.The seperation film of the present invention has support membrane and the separating. functional layer being formed on the support membrane, the separating. functional layer contains the polymer that polyfunctional amine is formed with multifunctional carboxylic acid halides compound, the polyfunctional amine is based on multifunctional aliphatic amine, the separating. functional layer has hollow fold-like structures, and the specific surface area of the separating. functional layer is more than 1.1 and less than 10.0.",20180417,"B01D69/10,B01D71/56,B01D69/12",TORAY INDUSTRIES
CN-104822437-A,Separation membrane module,"Provided is a high efficiency separation membrane module to which sludge does not adhere easily, wherein the separation membranes are oscillated without damaging the membranes even though the membranes are sac-shaped separation membrane elements that do not use support plates. The separation membrane module (1) is provided with: an element block (2) in which multiple separation membrane elements (4), which have a structure in which the rims of separation membrane pairs obtained from two separation membranes disposed so that the permeation side surfaces face each other are sealed, are arranged in parallel; and an aeration block (3) equipped with an air diffusion tube (31) and disposed below the element block (2). The element block (2) is provided with: upper spacers (8), at least one of which is disposed between each of the adjacent separation membrane elements (4) and in the upper half of the separation membrane elements (4); and lower spacers (9), which are disposed between adjacent separation membrane elements (4) and below the upper spacers (8). Of the multiple separation membrane elements (4), the separation membrane elements (4) that are positioned at the two ends are fixed to a frame (12) at the height of the lower spacers (9).",20150805,"C02F1/44,B01D63/08,B01D63/00,B01D65/02",TORAY INDUSTRIES
EP-2757147-B1,Sugar solution production apparatus and sugar solution production system,,20181114,"B01D61/58,B01D61/02,B01D61/14",TORAY INDUSTRIES
US-9937440-B2,Adsorption carrier-packed column,"An adsorption carrier-packed column includes a central pipe, adsorption carrier, plate A, and plate B, wherein an insertion material C is inserted between the adsorption carrier and the plate A; an insertion material D is inserted between the adsorption carrier and the plate B; the ratio of the deformation rate of the insertion material C (C 1 ) to the deformation rate of the adsorption carrier (E 0 ) is 1&lt;C 1 /E 0 &lt;10, and the ratio of the deformation rate of the insertion material D (D 1 ) to the deformation rate of the adsorption carrier (E 0 ) is 1&lt;D 1 /E 0 &lt;10; and the ratio of the thickness of the insertion material C (T C ) to the distance of a gap between the adsorption carrier and the plate A (L A ) is 1.1&lt;T C /L A &lt;4, and the ratio of the thickness of the insertion material D (T D ) to the distance of a gap between the adsorption carrier and the plate B (L B ) is 1.1&lt;T D /L B &lt;4.",20180410,"B01D15/22,B01D29/00",TORAY INDUSTRIES
CA-2879851-C,Method for producing sugar solution,"A method for producing a sugar solution by filtering a cellulose-derived sugar solution through one or more separation membranes selected from an ultrafiltration membrane, a nanofiltration membrane, and a reverse-osmosis membrane, wherein it is possible to effectively clean dirty separation membranes by cleaning separation membranes, which are dirty as a result of filtration, by using a cleaning fluid containing an alkaline substance and an aromatic compound, and cleaning at a temperature of 10°C or higher and less than 50°C.",20190917,"B01D65/06,B01D61/58,B01D61/02,B01D61/14",TORAY INDUSTRIES
WO-2016084905-A1,Water production method,"The present invention pertains to a water production method in which raw water or pretreated water thereof is supplied under pressure as supply water to a semi-permeable membrane module by means of a pressure-raising pump, and supply water is separated into concentrated water and low-concentration permeate, said method being characterized in that a scale-suppressing agent having a reduction function is intermittently or constantly added upstream of the semi-permeable membrane module, suppressing the occurrence of scale, and maintaining the redox potential of the supply water and/or concentrated water at or below a set value.",20160602,"C02F1/70,C02F5/14,C02F5/10,C02F1/76,C02F5/00,B01D65/08,B01D61/12,B01D61/04,B01D61/58,B01D71/56,C02F5/08,C02F1/44",TORAY INDUSTRIES
WO-2019021963-A1,Fluid separation membrane,"The present invention provides a highly flexible fluid separation membrane, which is less prone to breakage during use and capable of demonstrating stable membrane physical properties. The present invention relates to a fluid separation membrane with an atomic carbon ratio of 50 at.% or greater and having a porous support body with a co-continuous porous structure and a functional separation layer formed on the porous support body and essentially formed from inorganic material.",20190131,"B01D69/12,B01D71/02,B01D69/10,B01D69/08,B01D69/04,B01D69/02",TORAY INDUSTRIES
AU-2016381988-B2,Hollow fiber membrane module and method for operating same,"The present invention provides a hollow fiber membrane module that can effectively resolve the accumulation of suspended solids within the membrane module, lower running costs, and also operate stably. The present invention relates to a hollow fiber membrane molecule provided with: a cylindrical case having a first end and a second end in the direction of height; a plurality of hollow fiber membranes accommodated within the cylindrical case; and a first potting part accommodated within the cylindrical case and attaching the plurality of hollow fiber membranes together such that the end parts of the plurality of hollow membrane fibers at a first end side of the cylindrical case are open. The hollow fiber membranes are porous hollow fiber membranes having a breaking strength of 23 MPa, and the hollow membrane module has a membrane area per unit volume of 800 - 3700 m",20201203,"B01D71/34,B01D69/02,B01D65/02,B01D69/08,B01D63/02,C02F1/44",TORAY INDUSTRIES
CA-2774695-C,Method of treating a plant wastewater and treatment system therefor,"[Object] Provided is a method of treating a plant wastewater which reduces the treatment costs of anaerobic and aerobic biological treatments on a plant wastewater containing a nitrogen component and a phosphorus component either in amounts insufficient for the biological treatments or not at all. [Solving Means] The method is characterized by including: a pre-treatment step of feeding plant wastewater 11, which contains an organic compound and is discharged from a chemical plant, a petroleum plant, or a petrochemical plant, to an anoxic tank 1, and adding compounds 12 containing a nitrogen component and a phosphorus component to the plant wastewater 11, thereby performing an anaerobic biological treatment thereon; a primary treatment step of introducing the thus treated wastewater into an anaerobic biological treatment tank 2, and performing an anaerobic biological treatment thereon; a secondary treatment step of introducing the thus treated wastewater into an aerobic biological treatment tank 3, performing an aerobic biological treatment thereon, and discharging the thus treated wastewater through solid-liquid separation means as secondary treated water; and a tertiary treatment step of introducing the secondary treated water into the reverse osmosis membrane separation unit 4 for separating the secondary treated water into RO permeated water 16 and RO concentrated brine 17. Here, at least a part of the RO concentrated brine 17 is recycled to the anoxic tank 1.",20170321,"B01D61/58,C02F3/30,B01D61/16,C02F3/00,C02F3/12,C02F1/44,B01D61/04,C02F3/10",TORAY INDUSTRIES
US-2023121715-A1,Method and program for determining cleaning trouble in fresh water generator,"The present invention provides a fresh water generator operating method and a determination program that are employed in a method for cleaning a separation membrane module following membrane filtration, and that, while various cleaning steps such as reverse pressure cleaning, air cleaning, chemical solution cleaning are taking place after completion of the membrane filtration, determines cleaning troubles by calculating a temporal change in resistance increase rate on the basis of an increase in membrane differential pressure.",20230420,"C02F1/44,B01D65/02",TORAY INDUSTRIES
CN-114746590-A,Polyphenylene sulfide short fiber and filter cloth comprising same,"The invention provides a polyphenylene sulfide short fiber which is characterized by comprising at least 2 types of fibers with different single fiber fineness, and the fiber mixing uniformity is less than 3.0. Can provide PPS short fiber which can simplify the cotton mixing step in the manufacture of the filter cloth, improve the dust stripping performance, improve the dust collecting efficiency and reduce the pressure loss.",20220712,B01D39/16,TORAY INDUSTRIES
JP-2016193427-A,Hollow fiber membrane and production method thereof,"PROBLEM TO BE SOLVED: To provide a module filled with a hollow fiber membrane excellent in permeability, usable in an outside pressure system, especially when being used in an anti-pressure osmosis method or in a forward osmosis method, and capable of suppressing inside solute residence.SOLUTION: A hollow fiber membrane module includes a housing, and a hollow fiber membrane filled in the housing, which is a membrane having the outer diameter of 15 μm or more and 290 μm or less, and having a hollow rate of 43% or more and 60% or less.SELECTED DRAWING: Figure 1",20161117,"B01D69/00,B01D69/08,C02F1/44,B01D63/02,B01D69/02,B01D69/12,B01D69/10,B01D61/00,B01D71/10",TORAY INDUSTRIES
JP-2015016448-A,Rejection rate improving method of composite semipermeable membrane,"PROBLEM TO BE SOLVED: To provide a rejection rate improving method of a composite semipermeable membrane such as a nano filtration membrane, a reverse osmosis membrane and the like and especially, the rejection rate of a non-ionic substance can be improved by the method, and to provide a water treatment method using the composite semipermeable membrane treated by the rejection rate improving method.SOLUTION: A treatment that a compound having a polyalkylene glycol chain whose weight average molecular weight is 6,000 or more and 100,000 or less is brought in contact with the surface of a composite semipermeable membrane is performed. The rejection rate of the composite semipermeable membrane is improved by reducing a permeation flux after the treatment by 5-30%.",20150129,"C02F1/44,B01D63/10,B01D69/12,B01D67/00,B01D61/02",TORAY INDUSTRIES
EP-4159304-A1,Porous film and composite film,"The present invention provides a porous film having a relief structure provided with protrusions and recesses on at least one surface. In a plane located at a height of 50 nm from a reference surface of the surface, the average number density of the protrusions having a cross-sectional area of 0.01 µm 2  to 0.10 µm 2  is 4.0 protrusions/µm 2  or less, and in a plane located at a height of 20 nm from the reference surface of the surface, the average number density of the protrusions having a cross-sectional area of from 0.01 µm 2  to 0.10 µm 2  is 1.0 protrusion/µm 2  or greater.",20230405,"B01D61/14,B01D61/18,C02F1/44,B01D69/10,C02F3/12,B01D71/34,B01D69/00,B01D69/12,B01D71/06,B01D69/02",TORAY INDUSTRIES
TW-201919748-A,Single component polyester monofilament for superfine high-mesh filter,"Provided is a single component polyester monofilament for a superfine high-mesh filter characterized in that: the total (%) diameter of nodes of 2 μm or greater present in 1 million m in the direction of monofilament fiber length with respect to the fiber diameter is expressed by Equation (1); and the monofilament has a fineness of 3.0 - 13.0 dtex, strength of 5.0 - 6.5 cN/dtex, and strength at 5% elongation of 2.7 - 3.3 cN/dtex. [Equation 1] (1) (xn: node diameter, x&#39;: fiber diameter, k: number of nodes included in 1 million m in the direction of fiber length) The present invention cam provide a filter that has excellent monofilament uniformity without node defects and achieves excellent quality for both filterability and permeability.",20190601,B01D39/16,TORAY INDUSTRIES
PH-12016502440-B1,Method for producing sugar liquid,"Provided is a method for producing a sugar liquid using a cellulose-containing biomass as the starting material. Sugar liquid having a very low fermentation-inhibiting substance content is produced by a method comprising (1) a step in which a cellulose-containing biomass is hydrolyzed to produce an aqueous sugar solution and (2) a step in which the resulting aqueous sugar solution is filtered through a nanofiltration membrane and/or reverse osmosis membrane, the pure sugar liquid is recovered from the unpermeated side, and the fermentation-inhibiting matter is removed from the permeated side.",20171009,B01D71/08,TORAY INDUSTRIES
WO-2017126501-A1,"Fluid separation membrane, fluid separation membrane module, and porous carbon fiber","The present invention pertains to a fluid separation membrane having high compression strength in the fiber cross-section direction (direction orthogonal to the fiber axis), the fluid separation membrane being obtained by an organic polymer layer being formed on the surface of porous carbon fibers having a co-continuous porous structure. Also, the present invention pertains to a fluid separation membrane module and porous carbon fibers having a fully co-continuous porous structure.",20170727,"B01D71/52,B01D71/16,B01D71/42,B01D71/02,B01D71/56,B01D71/68,B01D69/12,B01D69/10,B01D69/08,B01D71/66,B01D71/64,B01D71/34,B01D71/36",TORAY INDUSTRIES
EP-2414087-B1,"Microporous membranes, method for making such membranes, and the use of such membranes as battery separator film",,20190116,B01D71/26,TORAY INDUSTRIES
CN-103168102-B,Production method for chemicals by continuous fermentation,"A production method for chemicals by continuous fermentation, comprising: filtering a culture medium containing a fermentation feedstock, chemicals, microbes, or cultured cells by a separation membrane; collecting the chemicals from the filtrate; retaining or refluxing the unfiltered remains in the culture medium; and supplying washing liquid from the permeate side of a membrane unit to wash the membrane in a continuous fermentation in which the fermentation feedstock is added to the culture medium, characterized in that the washing liquid has a higher temperature than the culture medium, and is high-temperature water of 150 DEG C or lower, and a microbial concentration in a fermenter is controlled by supplying the washing liquid. By using the production method, the retention of the filtration property for high cell-density cultivation of microbial mixture and the control of the microbial concentration can be simultaneously performed, in the collection of products by the fermentation using the separation membrane.",20150708,"B01D65/06,B01D65/02",TORAY INDUSTRIES
JP-2024149370-A,"Spiral separation membrane element, water treatment device using the same and water treatment method","To provide a separation membrane element which can reduce a pressure loss while suppressing fouling of a feed-side flow channel when the separation membrane element is operated.SOLUTION: A separation membrane element according to the present invention is a spiral separation membrane element comprising at least a water collection tube, a separation membrane, a feed-side flow channel material, and a permeation-side flow channel material. In a cross section perpendicular to the axial direction of the water collection tube of the separation membrane element, for the feed-side flow channel F formed by the separation membrane and the feed-side flow channel material located on a straight line connecting the center of the water collection tube to any outer circumference, a thickness of the feed-side flow channel on the inner circumference side is smaller than a flow channel height on the outer circumference side, and a thickness D of the feed-side flow channel material is between 350 μm and 650 μm.SELECTED DRAWING: Figure 5",20241018,"B01D63/10,B01D63/12,B01D63/00,C02F1/44",TORAY INDUSTRIES
TW-I683933-B,,,20200201,B01D71/68,TORAY INDUSTRIES
